#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLE91241;The Price of Decadence;Le prix de la décadence;Der Preis der Dekadenz;;El precio de decadencia;;;;;;;;;x
EVTDESC91235;It is a well known fact that you have completed the Hajj and thus shown your submission and devotion to Allah (may He be glorified and exalted). Whatever else they may say about you, no one can take this away.;C'est un fait reconnu de tous que vous avez réalisé le Hajj et ainsi montré vote dévouement à Allah (qu'Il soit exalté). Quels que soient les reproches que peuvent vous faire vos opposants, c'est une chose qu'on ne peut pas vous retirer.;Es ist eine weit verbreitete Tatsache, dass Ihr den Haddsch beendet habt, was Eure Ehrerbietung und Hingabe für Allah zeigt (möge Er verherrlicht sein). Egal was sie über Euch sagen, niemand kann Euch dies absprechen.;;Es bien sabido que has completado el Hajj y con ello demostrado tu sumisión y devoción a Alá (glorificado y exaltado sea). Digan lo que digan sobre ti, nadie puede negar este hecho.;;;;;;;;;x
EVTDESC91240;After a brutal civil war, the decadent dynasty of my former liege has finally been overthrown by the [Root.Liege.GetOnlyDynastyName] clan. In the transitional chaos, I could probably get away with a declaration of independence...;Après une violente guerre civile, la dynastie décadente de mon ancien seigneur a finalement été renversée par le clan de [Root.Liege.GetOnlyDynastyName]. Dans le chaos causé par cette transition, je pourrais peut-être déclarer mon indépendance sans trop me faire remarquer...;Nach einem brutalen Bürgerkrieg wurde die dekadente Dynastie meines ehemaligen Lehnsherrn endlich vom [Root.Liege.GetOnlyDynastyName]-Klan gestürzt. Im Übergangschaos könnte ich eventuell mit einer Unabhängigkeitserklärung davonkommen...;;Tras una brutal guerra civil, la decadente dinastía de mi anterior señor ha sido finalmente derrocada por el clan [Root.Liege.GetOnlyDynastyName]. En el caos de transición, probablemente podría escapar con la declaración de independencia...;;;;;;;;;x
EVTDESC91241;The ruling dynasty of [FromFrom.PrimaryTitle.GetName] has been overthrown by the zealous and hard-living tribesmen of the [From.GetOnlyDynastyName] dynasty. Their decadent [FromFrom.PrimaryTitle.GetTier] has been toppled, freeing any vassals from their bondage to the unworthy [FromFrom.GetTitle]. With the [FromFrom.PrimaryTitle.GetTier] gone, time will tell if a worthy dynasty will be up to the task of restoring authority to the region.;La dynastie régnante [FromFrom.PrimaryTitle.Get_du_Realm] a été renversée par la tribu zélée de la dynastie [From.GetOnlyDynastyName]. Leur pays s'est effondré, ce qui a libéré tous les vassaux de leur servitude. Le temps nous dira si une dynastie arrivera à restaurer l'autorité dans la région.;Die herrschende Dynastie von [FromFrom.PrimaryTitle.GetName] wurde von den eifrigen und hart arbeitenden Stammesangehörigen der [From.GetOnlyDynastyName]-Dynastie gestürzt. Ihr dekadenter [FromFrom.PrimaryTitle.GetTier] wurde gestürzt, wodurch alle Vasallen von ihrem Bund gegenüber [FromFrom.Getdemder] unwürdigen [FromFrom.GetTitle] befreit wurden. Jetzt, wo [FromFrom.PrimaryTitle.Getderdie] Königin nicht länger ist, wird nur die Zeit zeigen, ob eine Dynastie der Aufgabe gewachsen sein wird, um die Autorität in der Region wiederherzustellen.;;La dinastía gobernante de [FromFrom.PrimaryTitle.GetName] ha sido derrocada por la tribu fanática que sobrevive en duras condiciones de la dinastía [From.GetOnlyDynastyName]. Su [FromFrom.PrimaryTitle.GetTier] decadente fue destronado, liberando a todos los vasallos de los lazos con el indigno [FromFrom.GetTitle]. Ahora que el [FromFrom.PrimaryTitle.GetTier] ha desaparecido, el tiempo dirá si una dinastía será digna de la labor de restaurar la autoridad sobre la región.;;;;;x
EVTDESC91300;I had the spice merchant beaten for the contemptuous look he gave me. Apparently, there are many who think I have grown soft and decadent, lost to vices and indulging in haram!;Ce marchand d'épices m'a jeté un regard méprisant, j'ai ordonné qu'on lui donne du bâton. Apparemment, nombreux sont ceux qui pensent que je me suis ramolli et que je suis devenu décadent, que je me suis perdu dans le vice et les choses impures !;Ich ließ den Gewürzhändler für seine herablassenden Blicke verprügeln. Offenbar gibt es einige, welche glauben, ich sei weich und dekadent geworden, verloren in Laster und Haram!;;He hecho que golpeen al mercader por su mirada despectiva. ¡Parece ser que muchos creen que me he vuelto blando y decadente, perdido en los vicios y dejándome llevar por lo prohibido!;;;;;;;;;x
EVTDESC91350;My [GetFromFromRelation] [FromFrom.GetBestName] has let me know that my sinful living shames the entire dynasty. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetDynName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him.);M[FromFrom.GetOnA] [GetFromFromRelation], [FromFrom.Get_only_le_Title][FromFrom.GetBestName], m'a fait savoir que ma vie de péchés jette la honte sur toute la dynastie. [FromFrom.GetIlElleCap] utilise son influence pour protéger la maison [Root.GetDynName] mais me conseille vivement de m'inspirer du parfait exemple donné par le Prophète, la paix soit sur lui.;Mein [GetFromFromRelation] [FromFrom.GetBestName] hat mich wissen lassen, dass mein sündiges Leben die gesamte Dynastie beschäme. [FromFrom.GetSubjectPronounCap] nutzt [FromFrom.GetPossPronoun]en Einfluss, um Haus [Root.GetDynName] zu schützen, doch rät mir, mich vom perfekten Vorbild des Propheten, Friede sei mit ihm, leiten zu lassen.;;Mi [GetFromFromRelation] [FromFrom.GetBestName] me ha hecho saber que mi vida pecaminosa avergüenza a toda la dinastía. [FromFrom.GetSubjectPronounCap] ejerce [FromFrom.GetPossPronoun] influencia para proteger la casa [Root.GetDynName], pero me urge a buscar guía en el ejemplo del Profeta (que la paz sea con él).;;;;;;;;;x
EVTDESC91351;My decadent [GetFromRelation] [From.GetBestName] refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to imprison the degenerate... unless there is another way to get through to [From.GetObjectPronoun].;M[From.GetOnA] [GetFromRelation], [From.Get_only_le_Title][From.GetBestName], en pleine décadence, refuse de revenir dans le droit chemin et sera donc kafir, ce qui me donnera un motif pour l'emprisonner... À moins qu'il existe un moyen de l'aider à revenir dans le droit chemin.;Mein dekadenter [GetFromRelation] [From.GetBestName] weigert sich, [From.GetPossPronoun] sündiges Leben zu ändern. Ich kann [From.GetObjectPronoun] als Kafir deklarieren - Grund genug, den Unsittlichen einzukerkern... außer es gibt einen anderen Weg, zu [From.GetObjectPronoun] durchzudringen.;;Mi decadente [GetFromRelation] [From.GetBestName] se niega a cambiar sus costumbres pecaminosas. Lo puedo declarar kafir, lo que me dará la razón para apresar al degenerado... a menos que haya otra forma de llegar a [From.GetObjectPronoun].;;;;;;;;x
EVTDESC91352;My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.;M[From.GetOnA] [GetFromRelation], [From.Get_only_le_Title][From.GetBestName], comprend que sa vie est du côté haram et m'a promis de grands changements dans son attitude.;Mein [GetFromRelation] [From.GetBestName] versteht, dass [From.GetSubjectPronoun] im Haram lebt, und versichert mir, dass [From.GetSubjectPronoun] [From.GetPossPronoun] Leben ändern wird.;;Mi [GetFromRelation] [From.GetBestName] entiende que vive una vida de haram, y me ha asegurado que va a cambiar sus formas.;;;;;;;;;x
EVTDESC91355;My [GetFromRelation] [From.GetTitledFirstName] just will not give up. [From.GetSubjectPronounCap] makes some most persuasive arguments about why I need to overcome my forbidden, haram, desires. For the sake of my soul, my dynasty and my religion, I need to repent.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], refuse de se calmer. [From.GetIlElleCap] utilise des arguments très persuasifs pour me raisonner et me faire abandonner mes désirs interdits et haram. Pour le salut de mon âme, de ma dynastie et de ma religion, je dois me repentir.;Mein [GetFromRelation] [From.GetTitledFirstName] wird nicht einfach aufgeben. [From.GetSubjectPronounCap] bringt einige höchst überzeugende Argumente, warum ich meine verbotenen Haramwünsche aufgeben sollte. Für das Wohl meiner Seele, meiner Dynastie und meiner Religion - ich muss Buße tun.;;Mi [GetFromRelation] [From.GetTitledFirstName] no se rinde. [From.GetSubjectPronounCap] argumenta persuasivamente por qué debo sobreponerme a mis deseos haram prohibidos. Por el bien de mi alma, mi dinastía y mi religión, he de arrepentirme.;;;;;;;;;x
EVTDESC91356;I just cannot get through to my wastrel [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] is simply too weak and obstinate.;Je n'arrive vraiment pas à convaincre m[From.GetOnA] [GetFromRelation] [From.GetFirstName], c'est à désespérer ! [From.GetIlElleCap] est simplement trop faible et obstiné[From.Get_E] !;Ich konnte einfach nicht zu [GetFromRelation] [From.GetFirstName] durchdringen! [From.GetSubjectPronounCap] ist einfach zu schwach und eigensinnig.;;¡No puedo llegar a mi perezoso [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] es demasiado débil y obstinado.;;;;;;;;;x
EVTDESC91357;My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.;M[From.GetOnA] [GetFromRelation], [From.Get_only_le_Title][From.GetBestName], comprend que sa vie est du côté haram et m'a promis de grands changements dans son attitude.;Mein [GetFromRelation] [From.GetBestName] versteht jetzt, dass [From.GetSubjectPronoun] ein Leben in Haram lebt. [From.GetSubjectPronoun] versichert mir, sich zu ändern.;;Mi [GetFromRelation] [From.GetBestName] comprende que vive una vida de haram, y me ha asegurado que [From.GetSubjectPronoun] está mentalizado para cambiar sus costumbres.;;;;;;;;;x
EVTDESC91360;My [GetFromRelation] [From.GetTitledFirstName] is back to persuade my to abandon my forbidden, haram, desires. [From.GetSubjectPronounCap] quotes the Koran and the Hadiths like a mufti and threatens me with the fires of Jehennom in the afterlife...;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], revient à la charge pour me convaincre d'abandonner mes désirs interdits et haram. [From.GetIlElleCap] cite le Coran et les Hadith comme un mufti et me menace des feux de la Géhennem après ma mort...;Mein [GetFromRelation] [From.GetTitledFirstName] versucht erneut mich zu überzeugen, meine verbotenen Haramwünsche aufzugeben. [From.GetSubjectPronounCap] zitiert den Koran und die Hadithe gleich einem Mufti und droht mir mit den Feuern Gehennas im Nachleben...;;Mi [GetFromRelation] [From.GetTitledFirstName] ha vuelto para persuadirme de abandonar mis prohibidos deseos haram. [From.GetSubjectPronounCap] cita el Corán y los Hadiz como un muftí y me amenaza con los fuegos del Yahannam en la otra vida...;;;;;;;;;x
EVTDESC91361;My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations. [From.GetSubjectPronounCap] will join a holy order in order to serve Allah best!;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a fondu en larme sous l'émotion face à mes exhortations. [From.GetIlElleCap] rejoindra un ordre sacré afin de servir Allah au mieux !;Mein [GetFromRelation] [From.GetTitledFirstName] war von meinen Ausführungen zu Tränen gerührt. [From.GetSubjectPronounCap] wird einem heiligen Orden beitreten und Allah dienen!;;Mi [GetFromRelation] [From.GetTitledFirstName] echó a llorar por mis ardientes exhortaciones. ¡[From.GetSubjectPronounCap] se unirá a una orden sagrada para servir mejor a Ala!;;;;;;;;;x
EVTDESC91362;My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations and left immediately for the holy pilgrimage to Mecca - the Hajj.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a fondu en larmes face à mes exhortations enflammées et a immédiatement amorcé son hajj à La Mecque.;Mein [GetFromRelation] [From.GetTitledFirstName] war von meinen Ausführungen zu Tränen gerührt und ist sofort zur heiligen Pilgerschaft nach Mekka - dem Haddsch - aufgebrochen.;;Mi [GetFromRelation] [From.GetTitledFirstName] echó a llorar por mis ardientes exhortaciones y partió inmediatamente en sagrada peregrinación a la Meca - el Hajj.;;;;;;;;;x
EVTDESC91363;My [GetFromRelation] [From.GetTitledFirstName] was shaken by the strength of my pious arguments and promised to reform [From.GetPossPronoun] ways, starting with a generous donation to charity.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a cédé face à la force de mes arguments remplis de foi et m'a promis de changer son comportement, en commençant par une généreuse aumône aux pauvres.;Mein [GetFromRelation] [From.GetTitledFirstName] wurde von der Stärke meiner frommen Argumente bewegt und versprach, [From.GetPossPronoun] Leben zu ändern, beginnend mit großzügigen Spenden.;;Mi [GetFromRelation] [From.GetTitledFirstName], movido por la fuerza de mis piadosos argumentos, ha prometido reformar sus costumbres, comenzando con una generosa donación a la caridad.;;;;;;;;;x
EVTDESC91365;I woke up to a dreadful stench and found my room full of the rotting carcasses of dogs and pigs. As I staggered out through the door, a shadowy figure crept up from behind and held a knife to my throat, whispering 'This is what your life is like. Imagine your death...' before disappearing without a trace!;J'ai été réveillé par une abominable puanteur et j'ai vu ma chambre emplie de carcasses de chiens et de cochons. Alors que je me dirigeais vers la porte en titubant, une ombre a surgi derrière moi et a porté un couteau à ma gorge en chuchotant: « Voilà à quoi ressemble ta vie. Imagine ce qu'il en sera de ta mort... », avant de disparaître sans laisser de traces !;Ich wurde durch furchtbaren Gestank geweckt und fand meinen Raum voller verwesender Kadaver von Hunden und Schweinen vor. Als ich durch die Tür wankte, hielt eine vermummte Gestalt ein Messer an meinen Hals und flüsterte: "Dies ist Euer Leben. Stellt Euch Euren Tod vor..." und verschwand spurlos.;;Un tremendo hedor me despertó y encontré mi habitación llena de cadáveres de perros y cerdos. Mientras me tambaleaba hacia la puerta, una figura sombría reptó a mi espalda y, sosteniendo un cuchillo en mi garganta, susurró 'Así es tu vida. Imagina tu muerte...' ¡Antes de desvanecerse!;;;;;;;;;x
EVTDESC91366;I arranged a very unpleasant 'awakening' for my decadent [GetFromRelation] [From.GetTitledFirstName], but [From.GetSubjectPronoun] remains stubbornly committed to [From.GetPossPronoun] hedonism, bringing shame on our House.;J'ai organisé un « réveil » très déplaisant pour m[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], qui m'a fait si honte, mais [From.GetIlElle] demeure obstinément confit dans son hédonisme et ma honte ne fait que croître.;Ich arrangierte ein sehr unangenehmes "Erwachen" für meinen dekadenten [GetFromRelation] [From.GetTitledFirstName], doch [From.GetSubjectPronoun] bleibt stur [From.GetPossPronoun]em Hedonismus treu und bringt weiter Schande über unser Haus.;;He preparado un desagradable 'despertar' para mi decadente [GetFromRelation] [From.GetTitledFirstName], pero [From.GetSubjectPronoun] continúa obcecado en su hedonismo, trayendo la vergüenza a nuestra casa.;;;;;;;;;x
EVTDESC91367;The little nightmare I staged seems to have worked on my decadent [GetFromRelation] [From.GetTitledFirstName], who is scared witless and has promised to renounce [From.GetPossPronoun] shameful hedonism!;Le petit cauchemar que j'ai organisé semble avoir fait son effet sur m[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName],. [From.GetIlElleCap] tremble littéralement de peur et a promis de renoncer à son hédonisme qui me fait si honte !;Der kleine Albtraum, den ich aufführen ließ, scheint Wirkung auf meinen dekadenten [GetFromRelation] [From.GetTitledFirstName] zu zeigen. Voller Angst versprach er, [From.GetPossPronoun]en schamlosen Hedonismus aufzugeben.;;La pequeña pesadilla que he preparado parece haber funcionado con mi decadente [GetFromRelation] [From.GetTitledFirstName], ¡que tiene un susto de muerte y ha prometido poner fin a su vergonzoso hedonismo!;;;;;;;;;x
EVTDESC91368;It seems the nighttime show I put on for my decadent [GetFromRelation] [From.GetTitledFirstName] was a little too much. [From.GetSubjectPronounCap] chose to jump from a tower rather than live a righteous life as a true Muslim!;Il semble que le petit spectacle que j'ai préparé pour m[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], la nuit dernière soit allé un peu trop loin. [From.GetIlElleCap] a choisi de se jeter du haut d'une tour plutôt que de vivre en accord avec l'islam.;Der kleine Albtraum, den ich aufführen ließ, war wohl ein wenig zu viel für meinen dekadenten [GetFromRelation] [From.GetTitledFirstName]. Statt das rechtschaffene Leben des wahren Muslim zu leben, warf [From.GetSubjectPronounCap] sich lieber von einem Turm!;;Parece que el espectáculo nocturno que preparé para mi decadente [GetFromRelation] [From.GetTitledFirstName] era demasiado. ¡[From.GetSubjectPronounCap] ha preferido saltar de una torre a llevar la vida recta de un verdadero musulmán!;;;;;;;;;x
EVTDESC91369;[From.GetBestName] has failed in [From.GetPossPronoun] attempts to get the decadent [FromFrom.GetBestName] to straighten up. He is a kafir and can be imprisoned freely by all rulers of our shamed dynasty.;[From.Get_only_Le_Title][From.GetBestName] a échoué dans ses tentatives à redresser la décadence [FromFrom.Get_only_du_Title][FromFrom.GetBestName]. C'est un kafir et peut être emprisonné librement par tout dirigeant de notre dynastie honteuse.;[From.GetBestName] ist es nicht gelungen, den dekadenten [FromFrom.GetBestName] zu überzeugen, sich zu bessern. [FromFrom.GetSheHeCap] ist ein Kafir und kann von allen Herrschern der Dynastie ohne Strafe eingekerkert werden.;;[From.GetBestName] ha fallado en [From.GetPossPronoun] intento de convencer a [FromFrom.GetBestName] a enderezarse. Es un kafir y cualquier miembro de nuestra dinastía le puede imprisionar libremente.;;;;;;;;;x
EVTDESC91370;Your [GetFromRelation], [From.GetBestName], has become Decadent, bringing shame to the House of [Root.GetOnlyDynastyName]!;Votre [GetFromRelation], [From.Get_only_le_Title][From.GetBestName], est devenu décadent. Il fait honte à la Maison [Root.GetOnlyDynastyName]!;Ihr [GetFromRelation] [From.GetBestName] ist dekadent geworden. Er bringt Schande über das Haus [Root.GetOnlyDynastyName]!;;Tu [GetFromRelation], [From.GetBestName], es un decadente que da vergüenza a la casa de [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTDESC91372;My agents have brought me a message from [From.GetTitledFirstName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHeCap] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [From.GetHerHis] decadence.;Mes agents m'ont transmis un message [From.Get_du_TitledFirstName] qui refuse encore mes exigences ! [From.GetIlElleCap] m'offre un eunuque qui sait bien se battre si je lui permets de persister dans sa décadence.;Meine Mittelsmänner überbrachten mir eine Nachricht von [From.GetTitledFirstName]. Noch immer zeigt [From.GetSheHe] keine Bereitschaft, sich zu ändern! [From.GetSheHeCap] bot mir einen kampferprobten Eunuchen als Geschenk an, wenn ich [From.Getihmihr] gestatte, [From.GetHerHis]e Dekadenz weiter fortzuführen.;;Mis agents me han traído un mensaje de[From.GetTitledFirstName], queen todavía rechaza mis demandas que [From.GetSheHe] se enderece!Se ofreció darme un eunuco fuerte de gran capacidad marcial como un regalo si permito que  [From.GetHerHim] persiste en su década.;;;;;;;;;x
EVTDESC91373;[From.GetTitledFirstName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHeCap] also offered to make a religious donation in my name as a gesture of friendship.;[From.Get_Le_TitledFirstName] m'a parlé de ses choix de vie. [From.GetIlElleCap] a tenté de m'expliquer que ce que je considérais comme de la décadence n'était qu'une autre manière d'honorer la volonté de [From.Religion.GetRandomGodName]. En témoignage de son amitié, [From.GetIlElle] m'a proposé de faire un don en mon nom.;[From.GetTitledFirstName] erzählte mir, wie [From.GetSheHe] sich entschied, [From.GetHerHis] eigenes Leben zu leben. [From.GetSubjectPronounCap] erklärte mir, dass das, was ich als Dekadenz ansehen würde, lediglich eine andere Weise sei, den Glauben zu leben. [From.GetSheHeCap] bot mir auch an, als Zeichen der Freundschaft in meinem Namen für religiöse Zwecke zu spenden.;;[From.GetTitledFirstName] me hablaba sobre cómo [From.GetSheHe] ha optado por vivir[From.GetHerHis] propria vida. [From.GetSubjectPronounCap] trató de explicarme que lo que yo he visto como decadencia fue simplemente otra forma de honrar a [From.Religion.GetRandomGodName];;;;;;;;;x
EVTDESC91374;[From.GetTitledFirstName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetTitledFirstName] insists that [From.GetSheHe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetTitledFirstName] now seems to be very different from what I had heard.;[From.Get_Le_TitledFirstName] vint me voir dans mes appartements pour me chuchoter de douces paroles à l'oreille. [Root.Spouse.Get_Le_TitledFirstName] insiste pour qu'[From.GetIlElle] fasse un tour en prison, en raison de ses moeurs décadentes. Mais [From.Get_le_TitledFirstName] ne se comporte pas du tout comme ce que l'on m'avait décrit.;[From.GetTitledFirstName] suchte mich nachts auf, um mir wohlklingende Worte einzuflüstern. [Root.Spouse.GetTitledFirstName] besteht darauf, dass [From.GetSheHe] unbedingt im Kerker landen muss, denn [From.GetHerHis]e Lebensweise sei dekadent. Doch nun scheint [From.GetTitledFirstName] völlig anders zu sein, als man mir berichtete.;;[From.GetTitledFirstName] vino a mis cámaras y susurró palabras bonitas en mi oído.[Root.Spouse.GetTitledFirstName] insiste en que [From.GetSheHe] debería ser lanzado en la cárcel debido a sus costumbres decadentes, pero [From.GetTitledFirstName] ahora parece ser muy diferente de lo que había oído. ;;;;;;;;;x
EVTDESC91375;My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetTitledFirstName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.;Ma moitié n'accepte pas ce qu'[From.GetIlElle] décrit comme ma cruauté superflue envers [FromFrom.Get_le_TitledFirstName] et ses manières décadentes, et me demande de cesser mes remarques désobligeantes.;Mein Ehepartner stört sich an meiner, wie [From.GetSheHe] meint, angeblich unnötig strengen Haltung gegenüber [FromFrom.GetTitledFirstName] und [FromFrom.GetHerHis]em dekadenten Lebensstil und bittet mich, [FromFrom.GetHerHim] in Ruhe zu lassen.;;Mi cónyuge a [From.GetSheHe] se disgusta por lo que se refiere como un actitud innecesariamente áspera hacia [FromFrom.GetTitledFirstName] y sus costumbres decadentes de [FromFrom.GetHerHis] y me pide dejar a [FromFrom.GetHerHim] en paz.;;;;;;;;;x
EVTDESC91376;My spouse came to me with shocking news. Apparently [FromFrom.GetTitledFirstName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.;Ma moitié est venue me voir avec de terribles nouvelles. Il semble que [FromFrom.Get_le_TitledFirstName] a tenté de [From.GetLeLa] séduire et de [From.GetLeLa] dresser contre moi !;Mein Ehepartner überbrachte mir schockierende Neuigkeiten. Scheinbar versuchte [FromFrom.GetTitledFirstName], meinen Ehepartner zu verführen und [From.GetHerHim] gegen mich aufzuhetzen.;;Mi esposo vino a mí con noticias espantosas. ;;;;;;;;;x
EVTDESC_91377;My husband, [From.GetName], has in a sudden fit of religious piety gone off to join the [From.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;Dans un accès de piété religieuse soudaine, mon mari, [From.GetName], est parti rejoindre [From.Liege.PrimaryTitle.Get_le_Realm]. Voilà qui annule efficacement notre mariage...;Mein Gatte [From.GetName] schloss sich in einem Anfall plötzlicher religiöser Begeisterung [From.Liege.PrimaryTitle.GetName] an. Unsere Ehe ist somit null und nichtig ...;;Mi marido, [From.GetName], en un repentino ataque de piedad religiosa fue a unirse a la [From.Liege.PrimaryTitle.GetName]. Esto significa, de hecho, la anulación de nuestro matrimonio...;;;;;;;;;x
EVTDESC_91378;My [GetFromRelation] [From.GetTitledFirstName] is not happy with my refusal, but why should I care? Although now [From.GetSheHe] reminds me of the favor I owe [From.GetHerHim]...;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], est contrarié[From.Get_E] par mon refus, mais pourquoi s'en soucier ? Quoique, maintenant, [From.GetIlElle] me rappelle la faveur que je lui dois...;[GetFromRelation] [From.GetTitledFirstName] ist nicht erfreut über meine Absage, aber warum sollte mich das interessieren? Auch wenn [From.GetSheHe] mich jetzt an den Gefallen erinnert, den ich noch schuldig bin ...;;Mi [GetFromRelation] [From.GetTitledFirstName] no está contento con mi negativa, ¿pero por qué me importaría? Pero ahora me recuerda el favor que le debo… ;;;;;;;;;x
EVTDESC_91379;Finally my [GetFromRelation] [From.GetTitledFirstName] has decided to listen to reason. [From.GetSheHeCap] will not live a life of vice any longer!;Finalement, m[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a décidé d'entendre raison. [From.GetIlElleCap] ne vivra pas dans le vice plus longtemps !;Endlich ist [From.GetTitledFirstName], m[From.Geteineine] [GetFromRelation], zur Vernunft gekommen. [From.GetSheHeCap] wird dem Laster entsagen und ein anständiges Leben führen!;;Finalmente mi [GetFromRelation] [From.GetTitledFirstName] ha decidido a escuchar la voz de la razón. ¡Se acabó su vida de vicios!;;;;;;;;;x

EVTOPTA91000;Allah be Merciful!;Dieu, ayez pitié !;Möge Allah gnädig sein!;;¡Alá se misericordioso!;;;;;;;;;x
EVTOPTA91200;*hic*;*hips*;*hicks*;;*hip*;;;;;;;;;x
EVTOPTA91201;Let them say what they want!;Je me fiche de ce qu'ils pensent !;Lasst sie sagen, was sie wollen! ;;¡Que digan lo que quieran!;;;;;;;;;x
EVTOPTA91202;What? I left enough for tomorrow's breakfast.;Bah quoi ? Il reste assez de miel pour le petit-déjeuner de demain.;Was denn? Ich habe genug für das Frühstück morgen übrig gelassen. ;;¿Qué pasa? He dejado suficiente para desayunar mañana.;;;;;;;;;x
EVTOPTA91203;You will not rob me of the one thing I enjoy in life!;Vous ne me priverez pas de l'un de mes rares plaisirs !;Sie werden mir nicht das Einzige wegnehmen, was ich im Leben genieße!;;¡No me robarás lo único que me gusta en esta vida!;;;;;;;;;x
EVTOPTA91204;Come here, my pretty...;Viens par ici, ma jolie...;Kommt her, meine Schöne...;;Ven aquí, mi bella...;;;;;;;;;x
EVTOPTA91205;Let me just remove my belt...;Il faut que je desserre ma ceinture...;Lasst mich nur meinen Gürtel entfernen...;;Deja que me quite el cinturón...;;;;;;;;;x
EVTOPTA91206;It is my right.;Et alors ? C'est mon droit.;Das ist mein Recht.;;Estoy en mi derecho.;;;;;;;;;x
EVTOPTA91207;Ah, yes...;Ah, oui...;Ah, ja...;;Ah, sí...;;;;;;;;;x
EVTOPTA91208;I deserve only the very best.;Je mérite ce qu'il y a de mieux.;Ich verdiene nur das Allerbeste.;;Solo merezco lo mejor.;;;;;;;;;x
EVTOPTA91209;It can all be replaced.;Les objets, ça se remplace.;Es kann alles ersetzt werden.;;Todo puede sustituirse.;;;;;;;;;x
EVTOPTA91210;They should be thankful I am their ruler.;Le peuple devrait s'estimer heureux d'avoir un[Root.Get_E] [Root.GetLordLady] te[Root.GetLLle] que moi.;Sie sollten dankbar sein, ich bin ihr Herrscher. ;;Deberían estar agradecidos de que yo les gobierne.;;;;;;;;;x
EVTOPTA91211;Honour is a weakness I cannot afford.;L'honneur est une faiblesse que je ne peux me permettre.;Ehre ist Schwäche, die ich mir nicht leisten kann.;;El honor es una debilidad que no puedo permitirme.;;;;;;;;;x
EVTOPTA91212;Guards, I don't like the way that child looked at me...;Gardes, je n'aime pas la façon dont cet enfant me regarde...;Wachen, ich mag nicht, wie das Kind mich anschaut...;;Guardias, no me gusta la forma en que me ha mirado ese niño...;;;;;;;;;x
EVTOPTA91213;There is not a single thing I would change.;Pour rien au monde je ne changerais quoi que ce soit à ma situation.;Es gibt nicht eine Sache, die ich ändern würde. ;;No cambiaría ni una coma.;;;;;;;;;x
EVTOPTA91214;I AM the law.;La loi, c'est moi.;Ich BIN das Gesetz.;;Yo SOY la ley.;;;;;;;;;x
EVTOPTA91215;Oh, let them mutter.;Laissez-les parler.;Ach, lass sie murren.;;Oh, déjalos que hablen.;;;;;;;;;x
EVTOPTA91216;They will not catch me unawares.;Ceux qui veulent ma peau peuvent toujours courir !;Sie werden mich nicht unwissend vorfinden. ;;No me pillarán desprevenido.;;;;;;;;;x
